Product Backlog Item,Sprint task,Volunteer,Initial Estimate of Effort,1,2,3,4,5,6,7
Setup ambiente di sviluppo,Setup repository,Federico,1,1,0,0,0,0,0,0
,Setup SBT project,Federico,1,1,0,0,0,0,0,0
,Add Scalatest dependencies,Federico,1,1,0,0,0,0,0,0
,Add Indigo dependencies,Federico,1,1,0,0,0,0,0,0
,Setup latex environment and doc,Federico,1,1,0,0,0,0,0,0
,Setup csv file for product backlog,Federico,1,1,1,0,0,0,0,0
Studio engine Indigo,,Alan - Federico - Matteo,11,11,11,0,0,0,0,0
Design architetturale,,Alan - Federico - Matteo,9,9,9,0,0,0,0,0
Setup CI/CD,,,3,3,3,0,0,0,0,0
